item_id,type,title,date_or_deadline,time,person,priority,source_message_id
MEETING_number262,meeting,Can you help? I might prefer evening meetings now.,,,,low,MSG_0629
MEETING_number263,meeting,Can you help? Are you available for the technical interview at 14:00 on 2026-09-,2026-09-15,14:00 ,,low,MSG_0630
TASK_number264,task,One more thing: Don't forget to upload the assignment; deadline is 2026-09-06.,2026-09-06,,,low,MSG_0633
TASK_number265,task,Important: Please call Maya when you are free.,,,Maya,medium,MSG_0634
TASK_number266,task,"Hi, The review could be Friday afternoon.",,,,low,MSG_0635
TASK_number267,task,Reminder: doctor appointment happens on 2026-09-06 at 13:00 in the city clinic.,2026-09-06,13:00 ,,low,MSG_0637
TASK_number268,task,Can you help? Please submit the weekly report by 2026-09-09.,2026-09-09,,,low,MSG_0639
TASK_number269,task,Can you help? Don't forget to upload the assignment; deadline is 2026-09-04.,2026-09-04,,,low,MSG_0640
TASK_number270,task,Can you help? Reminder: sprint planning happens on 2026-09-16 at 15:00 in the ci,2026-09-16,15:00 ,,low,MSG_0643
TASK_number271,task,Quick update: Reminder: sprint planning happens on 2026-09-06 at 13:00 in the ci,2026-09-06,13:00 ,,low,MSG_0645
TASK_number272,task,One more thing: Share the meeting notes is due on 2026-09-09.,2026-09-09,,,low,MSG_0652
TASK_number273,task,"Hi, Can you review the privacy checklist before 2026-09-08?",2026-09-08,,,low,MSG_0653
TASK_number274,task,Important: Could you send it soon?,,,,medium,MSG_0654
MEETING_number275,meeting,"Please join the internship orientation on 2026-09-03, 10:00 at Google Meet.",2026-09-03,10:00 ,,low,MSG_0660
TASK_number276,task,One more thing: Can you send the revised presentation before 2026-09-03?,2026-09-03,,,low,MSG_0662
TASK_number277,task,One more thing: Reminder: sprint planning happens on 2026-09-11 at 14:00 in the ,2026-09-11,14:00 ,,low,MSG_0664
TASK_number278,task,Important: Don't forget to pay the electricity bill; deadline is 2026-09-05.,2026-09-05,,,medium,MSG_0667
TASK_number279,task,For today: Reminder: sprint planning happens on 2026-09-21 at 12:00 in the cafet,2026-09-21,12:00 ,,low,MSG_0668
EVENT_number280,event,Quick update: The webinar recording is now available.,,,,low,MSG_0669
TASK_number281,task,Quick update: Don't forget to upload the assignment; deadline is 2026-09-10.,2026-09-10,,,low,MSG_0670
TASK_number282,task,Just checking—Reminder: doctor appointment happens on 2026-09-21 at 16:00 in the,2026-09-21,16:00 ,,low,MSG_0673
TASK_number283,task,Quick update: The project review is scheduled for 2026-09-12 at 15:00 in Meeting,2026-09-12,15:00 ,,low,MSG_0674
EVENT_number284,event,For today: The webinar recording is now available.,,,,low,MSG_0675
MEETING_number285,meeting,"For today: Please join the internship orientation on 2026-09-08, 15:00 at Confer",2026-09-08,15:00 ,,low,MSG_0683
MEETING_number286,meeting,For today: I might prefer evening meetings now.,,,,low,MSG_0685
TASK_number287,task,Don't forget to upload the assignment; deadline is 2026-09-06.,2026-09-06,,,low,MSG_0688
TASK_number288,task,For today: Prepare the demo video is due on 2026-09-02.,2026-09-02,,,low,MSG_0690
TASK_number289,task,Important: I will send the login details separately.,,,,medium,MSG_0692
TASK_number290,task,"Hi, The project review is scheduled for 2026-09-02 at 13:00 in Meeting Room A.",2026-09-02,13:00 ,,low,MSG_0693
TASK_number291,task,Important: Please complete the Python exercise by 2026-09-02.,2026-09-02,,,medium,MSG_0694
MEETING_number292,meeting,"Quick update: Please join the study-group session on 2026-09-03, 10:00 at Google",2026-09-03,10:00 ,,low,MSG_0706
MEETING_number293,meeting,Important: The product demo is scheduled for 2026-09-02 at 13:00 in Meeting Room,2026-09-02,13:00 ,,medium,MSG_0707
TASK_number294,task,Can you help? Reminder: doctor appointment happens on 2026-09-06 at 13:00 in the,2026-09-06,13:00 ,,low,MSG_0711
MEETING_number295,meeting,Quick update: I might prefer evening meetings now.,,,,low,MSG_0713
TASK_number296,task,Can you help? Share the meeting notes is due on 2026-09-07.,2026-09-07,,,low,MSG_0716
TASK_number297,task,FYI: Please call Maya when you are free.,,,Maya,low,MSG_0717
TASK_number298,task,Just checking—Reminder: mentor catch-up happens on 2026-09-06 at 13:00 in the ci,2026-09-06,13:00 ,,low,MSG_0719
TASK_number299,task,Share the meeting notes is due on 2026-09-09.,2026-09-09,,,low,MSG_0720
TASK_number300,task,Just checking—Send the expense receipt is due on 2026-09-02.,2026-09-02,,,low,MSG_0722
TASK_number301,task,For today: Can you send the revised presentation before 2026-09-09?,2026-09-09,,,low,MSG_0725
TASK_number302,task,Just checking—Please submit the weekly report by 2026-09-03.,2026-09-03,,,low,MSG_0730
TASK_number303,task,Just checking—I will send the login details separately.,,,,low,MSG_0738
TASK_number304,task,One more thing: Don't forget to pay the electricity bill; deadline is 2026-09-02,2026-09-02,,,low,MSG_0743
MEETING_number305,meeting,"Just checking—Please join the AI workshop on 2026-09-03, 10:00 at Google Meet.",2026-09-03,10:00 ,,low,MSG_0745
MEETING_number306,meeting,"Quick update: Please join the AI workshop on 2026-09-18, 13:00 at Conference Roo",2026-09-18,13:00 ,,low,MSG_0747
TASK_number307,task,Please note: Don't forget to pay the electricity bill; deadline is 2026-09-04.,2026-09-04,,,low,MSG_0754
TASK_number308,task,"Hi, Don't forget to call the service centre; deadline is 2026-09-02.",2026-09-02,,,low,MSG_0757
MEETING_number309,meeting,The product demo is scheduled for 2026-09-12 at 11:00 in Meeting Room A.,2026-09-12,11:00 ,,low,MSG_0759
TASK_number310,task,"Hi, Don't forget to upload the assignment; deadline is 2026-09-05.",2026-09-05,,,low,MSG_0761
MEETING_number311,meeting,Please note: Let us meet sometime next week.,,,,low,MSG_0770
TASK_number312,task,I will send the login details separately.,,,,low,MSG_0771
MEETING_number313,meeting,Important: I might prefer evening meetings now.,,,,medium,MSG_0773
TASK_number314,task,Just checking—Could you send it soon?,,,,medium,MSG_0775
TASK_number315,task,FYI: Send the expense receipt is due on 2026-09-06.,2026-09-06,,,low,MSG_0776
TASK_number316,task,Can you help? Can you send the revised presentation before 2026-09-10?,2026-09-10,,,low,MSG_0780
TASK_number317,task,Quick update: I need you to review the model results by 2026-09-09.,2026-09-09,,,low,MSG_0783
TASK_number318,task,Important: Share the meeting notes is due on 2026-09-03.,2026-09-03,,,medium,MSG_0787
MEETING_number319,meeting,Quick update: The client discussion is scheduled for 2026-09-17 at 12:00 in Zoom,2026-09-17,12:00 ,,low,MSG_0788
TASK_number320,task,The project review is scheduled for 2026-09-02 at 9:00 in Meeting Room A.,2026-09-02,9:00 ,,low,MSG_0792
MEETING_number321,meeting,"Please note: Please join the study-group session on 2026-09-08, 11:00 at Confere",2026-09-08,11:00 ,,low,MSG_0793
TASK_number322,task,For today: Share the meeting notes is due on 2026-09-06.,2026-09-06,,,low,MSG_0795
EVENT_number323,event,One more thing: Are you available for the college seminar at 11:00 on 2026-09-20,2026-09-20,11:00 ,,low,MSG_0798
TASK_number324,task,Quick update: Don't forget to email the signed document; deadline is 2026-09-02.,2026-09-02,,,low,MSG_0799
TASK_number325,task,Just checking—Are you available for the design review at 12:00 on 2026-09-05? Lo,2026-09-05,12:00 ,,low,MSG_0800
MEETING_number326,meeting,For today: Let us meet sometime next week.,,,,low,MSG_0801
TASK_number327,task,FYI: Don't forget to pay the electricity bill; deadline is 2026-09-07.,2026-09-07,,,low,MSG_0809
TASK_number328,task,"Hi, Are you available for the design review at 13:00 on 2026-09-10? Location: th",2026-09-10,13:00 ,,low,MSG_0810
TASK_number329,task,Just checking—Please call Maya when you are free.,,,Maya,low,MSG_0811
TASK_number330,task,For today: Please complete the Python exercise by 2026-09-05.,2026-09-05,,,low,MSG_0814
TASK_number331,task,Important: Send the expense receipt is due on 2026-09-04.,2026-09-04,,,medium,MSG_0815
TASK_number332,task,"Quick update: If possible, review the file before the meeting.",,,,low,MSG_0816
TASK_number333,task,Please note: Share the meeting notes is due on 2026-09-02.,2026-09-02,,,low,MSG_0819
TASK_number334,task,FYI: Please submit the weekly report by 2026-09-07.,2026-09-07,,,low,MSG_0824
TASK_number335,task,Can you finish the test cases before 2026-09-08?,2026-09-08,,,low,MSG_0826
TASK_number336,task,For today: Please call Maya when you are free.,,,Maya,low,MSG_0827
TASK_number337,task,Important: Don't forget to email the signed document; deadline is 2026-09-10.,2026-09-10,,,medium,MSG_0829
MEETING_number338,meeting,For today: Are you available for the technical interview at 11:00 on 2026-09-20?,2026-09-20,11:00 ,,low,MSG_0831
MEETING_number339,meeting,Are you available for the technical interview at 14:00 on 2026-09-15? Location: ,2026-09-15,14:00 ,,low,MSG_0837
TASK_number340,task,The review could be Friday afternoon.,,,,low,MSG_0840
MEETING_number341,meeting,"Quick update: Please join the internship orientation on 2026-09-13, 16:00 at Goo",2026-09-13,16:00 ,,low,MSG_0841
EVENT_number342,event,The webinar recording is now available.,,,,low,MSG_0843
MEETING_number343,meeting,"Can you help? Please join the internship orientation on 2026-09-03, 10:00 at Goo",2026-09-03,10:00 ,,low,MSG_0847
TASK_number344,task,Please note: Are you available for the design review at 16:00 on 2026-09-05? Loc,2026-09-05,16:00 ,,low,MSG_0849
TASK_number345,task,Just checking—Prepare the demo video is due on 2026-09-06.,2026-09-06,,,low,MSG_0850
TASK_number346,task,Please note: Prepare the demo video is due on 2026-09-07.,2026-09-07,,,low,MSG_0851
TASK_number347,task,"Hi, Could you send it soon?",,,,medium,MSG_0859
EVENT_number348,event,Please note: Are you available for the college seminar at 11:00 on 2026-09-20? L,2026-09-20,11:00 ,,low,MSG_0860
TASK_number349,task,Can you help? Reminder: mentor catch-up happens on 2026-09-11 at 10:00 in the ca,2026-09-11,10:00 ,,low,MSG_0861
TASK_number350,task,"Hi, Don't forget to email the signed document; deadline is 2026-09-06.",2026-09-06,,,low,MSG_0862
TASK_number351,task,One more thing: Reminder: mentor catch-up happens on 2026-09-06 at 9:00 in the c,2026-09-06,9:00 ,,low,MSG_0866
MEETING_number352,meeting,Can you help? The client discussion is scheduled for 2026-09-07 at 14:00 in Zoom,2026-09-07,14:00 ,,low,MSG_0868
TASK_number353,task,For today: Send the expense receipt is due on 2026-09-07.,2026-09-07,,,low,MSG_0870
MEETING_number354,meeting,"One more thing: Please join the study-group session on 2026-09-08, 11:00 at Conf",2026-09-08,11:00 ,,low,MSG_0873
EVENT_number355,event,Just checking—Are you available for the college seminar at 15:00 on 2026-09-20? ,2026-09-20,15:00 ,,low,MSG_0877
MEETING_number356,meeting,Please note: The client discussion is scheduled for 2026-09-02 at 13:00 in Meeti,2026-09-02,13:00 ,,low,MSG_0878
TASK_number357,task,For today: I will send the login details separately.,,,,low,MSG_0879
EVENT_number358,event,FYI: Are you available for the college seminar at 13:00 on 2026-09-10? Location:,2026-09-10,13:00 ,,low,MSG_0882
TASK_number359,task,For today: I need you to review the model results by 2026-09-02.,2026-09-02,,,low,MSG_0883
TASK_number360,task,For today: The review could be Friday afternoon.,,,,low,MSG_0886
TASK_number361,task,Important: Can you review the privacy checklist before 2026-09-03?,2026-09-03,,,medium,MSG_0893
TASK_number362,task,Important: Are you available for the design review at 11:00 on 2026-09-20? Locat,2026-09-20,11:00 ,,medium,MSG_0894
MEETING_number363,meeting,"For today: Please join the AI workshop on 2026-09-13, 12:00 at Google Meet.",2026-09-13,12:00 ,,low,MSG_0895
TASK_number364,task,Can you help? Please complete the Python exercise by 2026-09-06.,2026-09-06,,,low,MSG_0898
EVENT_number365,event,Quick update: Are you available for the college seminar at 10:00 on 2026-09-15? ,2026-09-15,10:00 ,,low,MSG_0900
